alpha_obs,wind_speed,kappa_max,kappa_mean,kappa_proximity,clip_ratio,lam_max,dt_initial,dt_final,div_L2,div_Linf,status,elapsed
25,2,28.599999992564,3.8262091021986877,0.57199999985128,0.0,0.11000000000000001,0.0001,0.0001,0.8300440680224582,19.3410155720822,stable,37.3969292640686
25,3,29.899999992225997,4.000127697753173,0.5979999998445199,0.0,0.11499999999999999,0.0001,0.0001,0.8257268097143365,19.294301321831046,stable,37.84172773361206
25,4,31.199999991887996,4.174046293307658,0.6239999998377599,0.0,0.12,0.0001,0.0001,0.8217359250221801,19.247930057976983,stable,39.82476449012756
25,5,32.49999999155,4.347964888862144,0.649999999831,0.0,0.125,0.0001,0.0001,0.8179785151789654,19.201005735581308,stable,40.817776679992676
25,6,33.799999991212,4.52188348441663,0.67599999982424,0.0,0.13,0.0001,0.0001,0.8144794373433352,19.154342434895394,stable,40.83262038230896
25,7,35.099999990874004,4.695802079971116,0.7019999998174801,0.0,0.135,0.0001,0.0001,0.8112101003804623,19.107873218972248,stable,42.40708923339844
25,8,36.399999990535996,4.869720675525601,0.7279999998107199,0.0,0.13999999999999999,0.0001,0.0001,0.8081535033680066,19.061695979608185,stable,41.6192729473114
25,9,37.699999990197995,5.043639271080087,0.7539999998039599,0.0,0.145,0.0001,0.0001,0.8052952962812755,19.01595114319105,stable,44.23968744277954
25,10,38.99999998986,5.217557866634575,0.7799999997972,0.0,0.15000000000000002,0.0001,0.0001,0.8026198974135355,18.97075315120774,stable,44.67128658294678
30,0,30.999999990390002,3.9740462932288185,0.6199999998078001,0.0,0.1,0.0001,0.0001,0.8413260779312999,19.49845789713316,stable,36.729079723358154
30,1,32.5499999899095,4.172748607890259,0.65099999979819,0.0,0.10500000000000001,0.0001,0.0001,0.8362803159674244,19.45091300996891,stable,37.47323703765869
30,2,34.099999989429,4.371450922551699,0.6819999997885801,0.0,0.11000000000000001,0.0001,0.0001,0.8315884355496059,19.403007470243228,stable,37.577616930007935
30,3,35.649999988948494,4.57015323721314,0.7129999997789699,0.0,0.11499999999999999,0.0001,0.0001,0.8272199417080167,19.354900457967265,stable,37.29042458534241
30,4,37.199999988468,4.768855551874582,0.74399999976936,0.0,0.12,0.0001,0.0001,0.8231770644321937,19.307176010233878,stable,39.50783586502075
30,5,38.7499999879875,4.967557866536024,0.77499999975975,0.0,0.125,0.0001,0.0001,0.8193822205968846,19.25908146827147,stable,40.18746733665466
30,6,40.299999987507,5.1662601811974636,0.80599999975014,0.0,0.13,0.0001,0.0001,0.8158240219193997,19.210990154929203,stable,40.87039804458618
30,7,41.8499999870265,5.364962495858904,0.83699999974053,0.0,0.135,0.0001,0.0001,0.8125087756259822,19.163274504247575,stable,40.6223680973053
30,8,43.39999998654599,5.563664810520344,0.8679999997309199,0.0,0.13999999999999999,0.0001,0.0001,0.8094075248396999,19.11588575823697,stable,41.42611360549927
30,9,44.9499999860655,5.762367125181786,0.89899999972131,0.0,0.145,0.0001,0.0001,0.8065058032674012,19.06896123913232,stable,41.252866983413696
30,10,46.499999985585006,5.961069439843228,0.9299999997117001,0.0,0.15000000000000002,0.0001,0.0001,0.8037878714983802,19.02260632167615,stable,43.95735239982605
40,0,40.99999998319,4.965395057426183,0.8199999996638,0.0,0.1,0.0001,0.0001,0.843519277576877,19.58334385529085,stable,37.7927520275116
40,1,43.049999982349505,5.213664810297493,0.8609999996469901,0.0,0.10500000000000001,0.0001,0.0001,0.8384001469082402,19.533859077353274,stable,37.1198468208313
40,2,45.09999998150901,5.461934563168801,0.9019999996301802,0.0,0.11000000000000001,0.0001,0.0001,0.8336370780392234,19.484063530041777,stable,37.06192994117737
40,3,47.1499999806685,5.71020431604011,0.9429999996133699,0.0,0.11499999999999999,0.0001,0.0001,0.8291994729001623,19.434116465002653,stable,37.13109827041626
40,4,49.199999979828,5.958474068911419,0.98399999959656,0.0,0.12,0.0001,0.0001,0.8250813608723361,19.384539358623634,clipped,39.06322526931763
40,5,36.60533904860777,3.842269751601223,0.7321067809721553,0.0470542103715322,0.125,0.0001,0.0001,0.8797035644736673,20.25066261851136,stable,43.386197566986084
40,6,38.06955261055207,3.994078373250468,0.7613910522110414,0.0470542103715322,0.13,0.0001,0.0001,0.8765149502550197,20.23171072861336,stable,42.207494020462036
40,7,39.533766172496385,4.145886994899712,0.7906753234499277,0.0470542103715322,0.135,0.0001,0.0001,0.8735087690884177,20.211941817467533,stable,42.86852669715881
40,8,40.99797973444069,4.297695616548952,0.8199595946888139,0.0470542103715322,0.13999999999999999,0.0001,0.0001,0.8706727297972893,20.191465850744695,stable,52.66349244117737
40,9,42.462193296385,4.449504238198192,0.8492438659277001,0.0470542103715322,0.145,0.0001,0.0001,0.8679956451294989,20.170380911799445,stable,49.81106472015381
40,10,43.92640685832932,4.601312859847431,0.8785281371665864,0.0470542103715322,0.15000000000000002,0.0001,0.0001,0.865467307405635,20.148774538611907,stable,49.56611657142639
50,0,36.35533904611027,3.6040333041621064,0.7271067809222054,0.0470542103715322,0.1,0.0001,0.0001,0.9038901036979284,20.440178896948343,stable,43.17116904258728
